First_name,Last_name,Date_of_birth,Age,Phone_number,SSN,Systolic(BP),Diastolic(BP),Oxygen_saturation,Heart_rate,Respiratory_rate,Temperature,Glucose_levels
Jerald,White,07/14/1973,51,(363)047-1646,3,113,67,97,143,15,100.0,107
Kevin,Gonzales,06/10/1998,26,(202)929-4294,9,112,74,95,110,19,98.8,109
Carlos,Ward,08/08/1975,49,(406)274-4108,9,103,75,99,135,16,100.3,107
Waldo,Jackson,08/18/1951,73,(413)291-4830,1,113,78,97,118,18,98.9,115
Jason,Martin,11/14/2001,23,(350)652-0350,6,117,76,99,97,16,98.7,112
James,Adkins,09/21/1971,53,(573)432-7793,7,120,77,96,85,15,100.2,111
William,Holt,11/19/1990,34,(650)575-6293,9,108,72,97,118,18,99.9,115
Waldo,Lyons,12/18/1965,58,(605)019-4641,6,111,79,97,129,19,99.7,108
Vivian,Lopez,08/19/1997,27,(818)697-2635,5,105,72,99,120,15,98.7,112
Oscar,Brown,06/09/1975,49,(385)850-4500,2,104,72,99,96,19,98.7,110
Kevin,Young,07/23/1967,57,(516)062-5309,2,115,77,97,106,20,100.2,112
David,Johnson,08/29/2001,23,(937)632-2086,4,107,76,99,102,19,99.7,101
Barbara,Holt,10/26/2002,22,(760)481-4071,6,106,74,98,81,18,99.3,109
Liam,Adkins,09/17/1967,57,(361)018-7561,6,102,76,95,131,15,99.3,114
Simon,Adkins,10/05/1957,67,(414)926-6056,6,109,74,97,106,16,99.2,110
Jason,Cohen,09/24/1951,73,(505)825-3038,0,108,74,95,76,18,99.5,101
Tommy,Walker,09/30/1976,48,(908)691-9764,9,105,77,99,104,19,100.1,101
Ilene,Smith,12/07/1956,68,(620)445-1724,6,114,69,100,115,15,99.0,115
Elijah,Wilson,09/16/1976,48,(540)937-5443,3,116,78,96,105,16,99.6,115
Duncan,Martinez,02/21/1993,31,(224)206-3086,8,107,76,95,159,18,99.7,110
Duncan,Beard,12/04/1977,47,(716)925-3733,1,111,70,99,134,19,99.9,107
Samuel,Brown,08/06/1960,64,(909)447-6896,2,100,69,98,87,17,99.2,101
Noah,Potter,10/30/1978,46,(838)435-2180,1,105,68,95,100,19,99.2,104
Logan,Wilson,12/18/1986,37,(276)946-8893,6,117,70,95,143,13,99.2,115
Megan,Hernandez,11/09/1960,64,(707)910-7994,9,100,73,97,89,15,99.7,102
Douglas,Johnson,08/13/1972,52,(301)998-2272,2,103,68,96,116,13,100.3,115
William,Simpson,12/29/1970,53,(732)783-7450,6,113,69,96,110,20,100.2,104
Jerald,Brown,10/27/2002,22,(847)328-6734,9,113,69,100,115,16,99.7,111
Noah,Lopez,11/21/1975,49,(303)264-4540,9,113,67,99,90,18,98.9,114
Hershel,Lewis,10/06/1987,37,(618)425-8307,5,110,79,100,127,20,99.9,105
Jerald,Zhang,10/28/1950,74,(561)498-9476,2,114,70,95,121,16,98.8,106
Jerald,Keith,10/11/1960,64,(325)810-5162,0,102,74,99,98,13,98.7,106
Simon,Brown,01/28/1975,49,(308)076-7690,2,113,78,99,102,15,100.4,111
Andre,Hickman,08/29/1983,41,(585)271-3557,5,104,71,99,153,13,98.8,108
Douglas,Lin,05/14/2002,22,(603)709-3703,7,103,73,96,101,19,100.4,101
Simon,Robinson,05/01/2003,21,(681)903-0120,1,116,78,98,113,18,100.3,101
Megan,Cohen,07/22/1976,48,(337)010-9311,8,108,70,97,115,18,98.8,109
Athena,Allen,11/21/2004,20,(682)551-4670,8,105,79,97,103,18,99.4,109
Connor,Davis,01/04/1982,42,(274)599-5208,5,103,76,97,148,15,99.8,105
Jennifer,Gaines,10/22/1952,72,(305)580-2981,1,106,67,97,114,18,99.5,101
Ilene,Lee,02/28/1961,63,(515)804-6925,7,100,75,98,119,14,99.9,104
Dexter,Murray,01/04/1966,58,(983)101-8069,5,110,72,95,124,15,98.8,102
Raymond,Mullins,08/14/1989,35,(814)480-6834,8,113,73,98,154,18,99.4,106
