First_name,Last_name,Date_of_birth,Age,Phone_number,SSN,Systolic(BP),Diastolic(BP),Oxygen_saturation,Heart_rate,Respiratory_rate,Temperature,Glucose_levels
Kelly,Lewis,03/20/2005,19,(715)100-9237,1,116,79,98,119,15,98.9,105
Katherine,Murray,09/02/1953,71,(414)125-0527,6,112,72,96,78,20,99.1,109
Vivian,Keith,03/12/2005,19,(629)884-2009,0,112,73,97,168,16,99.7,115
Dorothy,Leblanc,11/26/1994,30,(586)101-8957,5,107,70,97,101,16,100.2,113
James,Chen,04/07/2004,20,(940)299-8087,7,118,73,99,122,14,99.9,112
Josh,Lyons,05/01/2003,21,(314)437-2279,2,120,67,98,110,13,98.8,111
Dexter,Gomez,08/21/1995,29,(332)620-3754,5,119,76,97,117,18,99.6,106
Jenny,Hickman,11/13/1966,58,(510)649-3948,0,117,75,95,116,18,100.4,105
Samuel,Thomas,05/24/1974,50,(380)820-6348,3,101,74,100,117,19,99.7,112
Ernest,Holt,02/12/1995,29,(310)797-9181,1,116,73,98,81,13,100.1,108
Mustafa,Huynh,12/10/2002,22,(435)826-4157,7,116,71,100,90,19,100.0,107
Wes,Martinez,07/16/1986,38,(832)302-9656,8,109,67,97,105,20,99.1,114
Carlos,Leblanc,06/16/1999,25,(401)737-4450,5,120,77,100,87,14,99.6,109
Felton,Garcia,09/20/2004,20,(985)435-0003,0,115,78,96,165,16,99.3,106
Betty,Allen,10/18/1957,67,(943)109-4030,6,119,78,99,111,20,100.1,104
Felton,Murray,09/08/1971,53,(214)515-4807,5,109,70,98,103,17,100.1,114
Harri,Davis,12/25/2001,22,(510)500-2592,4,115,78,97,86,13,99.5,101
Megan,Navarro,12/09/1959,65,(915)070-7264,0,108,74,100,110,12,98.8,106
Douglas,Adkins,12/10/1975,49,(740)171-5674,1,113,76,95,121,15,99.0,101
Carlos,Gaines,01/22/1976,48,(948)784-3173,9,106,74,96,120,19,100.3,112
Jennifer,Simpson,12/01/1997,27,(206)863-5718,8,113,73,100,101,12,99.2,108
Katherine,Hickman,04/26/2002,22,(734)374-3372,0,115,68,100,88,20,99.3,108
Jerald,Brown,01/29/1992,32,(817)093-7461,0,112,70,99,160,19,98.9,110
