First_name,Last_name,Date_of_birth,Age,Phone_number,SSN,Systolic(BP),Diastolic(BP),Oxygen_saturation,Heart_rate,Respiratory_rate,Temperature,Glucose_levels
David,Young,03/28/1956,68,(978)133-7857,0,102,67,99,84,18,100.0,104
Logan,Allen,09/27/1957,67,(442)379-6793,0,112,67,96,126,16,98.8,107
Bella,Hickman,01/04/1957,67,(351)266-3743,0,106,69,97,126,20,98.8,112
Oscar,Murray,09/16/1965,59,(351)389-7205,5,106,73,95,110,13,99.3,103
Bella,Johnson,08/01/1982,42,(302)492-2213,0,115,74,96,125,19,98.6,101
Duncan,Ward,11/02/1989,35,(903)841-2339,2,107,77,96,140,16,99.1,101
David,Lin,03/06/1972,52,(321)703-5222,6,109,78,98,138,14,99.0,109
Logan,Martin,06/20/1957,67,(872)093-0981,5,103,68,97,96,19,99.9,115
Jason,Walker,04/30/1957,67,(234)987-0479,9,117,69,99,81,14,99.0,102
Wes,Allen,04/06/1961,63,(810)647-1462,8,116,75,98,86,13,100.1,110
Judson,Allen,11/18/1969,55,(337)896-7804,4,118,74,98,83,15,99.6,115
Samuel,Jackson,06/10/1950,74,(858)113-2295,1,101,79,99,121,19,99.2,101
Harold,Moore,01/19/1953,71,(970)539-9626,9,113,73,96,112,20,100.1,112
David,Johnson,10/30/1984,40,(726)036-5252,5,119,68,99,101,13,99.9,108
Jerald,Martin,06/24/1967,57,(329)937-1097,9,105,73,98,135,12,99.6,115
Andre,Brown,12/29/1975,48,(912)428-7951,1,101,79,100,116,20,99.9,113
Waldo,White,11/21/1982,42,(315)688-3673,1,103,79,97,115,16,98.6,109
Samuel,Leblanc,02/28/1970,54,(337)441-4638,2,109,70,95,125,18,99.4,114
Vivian,Jones,06/30/1999,25,(845)802-2659,6,118,71,99,118,15,100.0,102
Hamza,Wilson,08/06/1978,46,(248)987-8804,6,103,67,98,113,17,100.2,104
Elijah,Johnson,09/17/1955,69,(954)317-6721,6,108,71,95,80,12,98.9,107
David,Miller,03/06/1983,41,(360)800-1144,6,102,77,97,131,14,100.0,106
Andre,Martin,07/25/1994,30,(470)878-9419,7,101,67,99,127,13,100.2,111
Liam,Lin,01/03/1971,53,(929)734-4007,9,116,74,97,115,15,100.2,105
Jessica,Jones,11/25/2004,20,(518)986-1231,8,112,69,97,139,18,99.7,110
Lucas,Allen,09/01/1960,64,(225)067-8303,5,100,72,98,128,17,98.8,112
Cathy,Gonzales,07/09/1993,31,(630)324-8146,1,103,69,96,162,14,100.4,107
Connor,Wilson,08/02/1950,74,(908)614-8721,8,117,73,96,97,18,98.8,102
Jordan,Walker,05/23/1970,54,(975)819-2167,6,101,78,100,109,15,98.7,108
Carrol,Allen,02/01/1996,28,(949)403-0825,8,120,74,100,103,15,99.8,103
Raymond,Cohen,06/07/1984,40,(434)836-9195,8,111,74,100,140,12,100.2,105
Felton,Gonzales,09/08/1991,33,(940)506-6672,1,117,67,97,115,17,99.8,109
Hershel,Hernandez,11/07/1963,61,(667)356-3776,4,111,71,95,135,15,99.6,110
Oscar,Murray,07/30/2005,19,(206)684-2607,3,120,76,97,152,18,99.5,111
Jason,Gonzales,10/09/1982,42,(978)020-9802,2,113,67,96,110,12,99.2,108
Jennifer,Walker,07/31/1981,43,(267)808-0719,8,105,78,100,133,17,99.2,102
Stacey,Miller,08/10/1967,57,(205)889-8278,6,115,76,97,121,15,98.8,111
Isabelle,Hickman,10/20/1992,32,(217)825-3622,4,102,76,95,144,12,98.9,109
Dexter,Huynh,04/03/1975,49,(943)572-7897,5,111,69,100,140,15,99.5,115
Waldo,Murray,06/20/1958,66,(380)701-0532,7,120,75,96,116,19,100.2,107
Jason,Johnson,04/05/1970,54,(948)770-7417,0,120,71,98,129,16,100.1,105
Lucas,Lopez,08/16/1978,46,(330)266-2506,5,120,70,98,139,17,98.9,114
William,Thompson,10/23/1971,53,(225)939-2884,9,116,77,99,136,17,99.8,115
John,Thomas,12/08/1987,37,(313)353-0948,3,104,74,97,97,17,99.4,113
Raymond,White,04/17/1957,67,(616)892-3816,4,104,73,98,132,17,98.7,105
Sally,Gaines,10/13/1991,33,(641)977-8678,0,112,73,98,127,19,99.5,103
David,Huynh,07/28/1963,61,(769)815-6862,9,120,71,97,131,18,100.0,112
Kelly,Gonzales,09/27/1996,28,(612)745-6464,9,103,67,98,123,17,99.5,109
Hershel,Lee,03/13/1981,43,(718)172-6372,6,115,71,99,115,18,99.7,113
