First_name,Last_name,Date_of_birth,Age,Phone_number,SSN,Systolic(BP),Diastolic(BP),Oxygen_saturation,Heart_rate,Respiratory_rate,Temperature,Glucose_levels
David,Miller,07/15/1972,52,(478)486-5224,8,108,78,100,119,17,98.6,109
Barbara,Robinson,12/04/1977,47,(279)990-7417,0,110,71,100,120,18,99.7,107
Katherine,Simpson,08/28/2004,20,(919)083-5288,2,107,67,99,142,17,99.8,108
Samuel,Thomas,10/13/1996,28,(948)660-8857,1,118,76,100,77,18,99.0,109
Mustafa,Keith,03/05/1959,65,(645)664-3004,4,107,75,99,121,14,100.2,110
Simon,Thomas,10/06/1976,48,(256)731-1475,8,103,67,100,146,19,98.7,113
Josh,Potter,12/14/1996,27,(839)064-8695,8,119,78,98,85,18,99.3,105
Johnnie,Lopez,04/19/1990,34,(728)132-4429,8,103,67,100,127,13,99.8,107
Douglas,Taylor,10/13/1979,45,(320)665-5519,2,106,71,96,137,17,98.8,115
Dorothy,Simpson,12/24/1994,29,(843)426-4361,3,116,73,100,119,20,100.3,104
Carlos,Davis,06/11/1982,42,(321)358-8582,7,116,72,97,124,14,99.9,112
Bella,Adkins,08/27/1979,45,(826)068-6803,7,108,74,95,133,17,100.0,108
David,Wilson,07/19/1991,33,(910)348-8295,1,100,69,95,143,18,99.0,108
Jessica,Potter,05/20/1976,48,(769)111-4150,5,113,67,97,103,20,98.8,108
Tonia,Brown,05/21/1980,44,(316)648-9254,9,102,72,96,91,18,98.7,110
Johnnie,Cohen,06/24/1993,31,(305)076-1457,1,116,79,100,119,19,99.1,111
Raymond,Davis,06/01/1968,56,(641)977-4068,5,103,77,100,101,18,99.3,111
Andre,Allen,02/23/1963,61,(959)715-8376,3,119,74,95,120,18,99.6,113
John,Lin,09/27/1954,70,(872)173-0686,1,120,77,95,90,20,99.9,104
Waldo,Lyons,03/01/1980,44,(818)829-7478,2,105,78,98,141,12,99.2,102
Jason,Simpson,09/05/1982,42,(826)572-5100,0,111,75,96,132,15,99.8,115
Ada,Love,07/10/1982,42,(732)740-2583,3,114,72,99,113,16,99.2,105
Carlos,Valencia,04/21/1966,58,(223)047-3618,8,104,73,100,91,15,99.9,106
Jessica,Navarro,01/22/2003,21,(947)142-2143,1,115,67,97,116,19,99.8,107
Carlos,Brown,08/23/1996,28,(369)246-0561,1,102,68,95,102,17,99.9,107
Simon,Huynh,01/29/1982,42,(858)686-3770,9,113,72,99,93,20,100.3,109
Cathy,Young,01/04/1949,75,(318)401-6278,4,100,75,100,115,20,98.9,113
Andre,Thompson,06/03/1967,57,(339)266-9642,1,118,78,96,107,19,99.9,109
Velma,Clark,05/16/1970,54,(831)449-2235,7,105,70,100,108,15,99.3,109
James,Gomez,03/31/1983,41,(785)390-3666,7,116,67,100,131,20,100.1,103
Duncan,White,06/04/1962,62,(667)845-4550,1,118,67,97,124,16,100.2,105
Stacey,Brown,12/04/1979,45,(404)924-0793,2,114,67,98,91,12,99.9,108
Stacey,Brown,12/21/1956,67,(205)958-1581,0,101,78,96,115,14,98.8,115
Josh,Gonzales,10/19/1974,50,(227)196-1844,0,106,72,100,91,12,99.5,111
Bella,Mays,06/17/1956,68,(218)622-5156,0,107,71,95,130,13,100.2,112
Brandi,Miller,10/14/1974,50,(706)325-7359,1,116,74,98,127,15,99.2,110
Jerald,Jones,07/07/1998,26,(830)116-9016,8,111,68,95,76,16,100.4,112
Cara,Johnson,09/25/1970,54,(805)914-0005,9,115,67,96,89,15,99.0,112
Raymond,Thompson,08/10/2003,21,(586)619-0032,8,107,67,96,128,19,98.9,106
Harri,Jones,08/11/1975,49,(424)653-8555,3,116,79,99,107,12,100.0,103
Judson,Lee,12/27/1967,56,(605)006-1891,8,106,75,99,105,17,98.7,106
David,Martin,08/16/1985,39,(813)028-1056,9,102,67,96,108,18,99.5,115
James,White,06/10/1989,35,(516)026-5294,3,114,75,96,128,16,99.1,103
Connor,Hernandez,03/30/1999,25,(317)146-0132,6,101,78,95,125,16,98.7,111
Carrol,Garcia,11/15/2003,21,(269)544-4102,5,105,74,99,77,13,99.2,109
Carlos,Keith,08/02/1993,31,(725)699-7090,3,116,76,100,156,18,98.9,113
Jason,Chen,12/18/1980,43,(781)273-3957,8,119,71,95,90,16,98.9,111
Simon,Gaines,12/19/1995,28,(640)827-5235,5,103,73,95,127,20,98.7,114
Dexter,Clark,02/11/1976,48,(609)458-8783,0,120,67,99,114,20,100.0,108
James,Lee,03/12/1984,40,(330)232-0719,0,115,77,95,134,14,98.7,113
Barbara,Chen,07/04/1961,63,(580)120-5376,5,108,75,97,129,16,98.7,107
Betty,Chen,04/06/1980,44,(686)359-2023,9,114,78,98,149,20,100.3,104
Hamza,Young,04/16/1978,46,(631)710-6469,5,105,73,98,125,12,99.9,114
Isabelle,Holt,05/23/1987,37,(952)850-9812,5,107,76,96,100,12,98.9,103
Johnnie,Huynh,01/25/1994,30,(815)838-2763,6,104,75,96,142,15,99.5,109
Ada,Martin,04/23/2000,24,(216)154-2698,1,105,75,98,126,19,100.1,104
Jenny,Huynh,05/20/1984,40,(279)224-4522,5,105,77,98,120,16,98.9,109
David,Gonzales,05/07/1985,39,(251)701-3127,2,102,67,98,116,13,99.4,103
Felton,Gomez,04/30/1977,47,(205)222-6023,8,110,75,96,88,20,98.9,108
Jessica,Leblanc,07/31/1995,29,(585)167-0318,8,104,70,96,90,12,100.1,114
Cara,Allen,07/11/2003,21,(401)697-8936,3,103,76,96,113,17,99.1,105
Hamza,Ward,07/10/1997,27,(978)519-3850,7,110,73,98,98,17,100.1,112
Harold,Wilson,07/08/1973,51,(912)559-6498,9,117,76,98,144,19,99.3,106
Felton,Anderson,05/14/1951,73,(714)010-0571,7,107,75,95,110,19,98.7,105
Connor,Lopez,10/30/1991,33,(985)376-4389,7,109,72,98,139,16,99.9,112
Sally,Keith,06/01/1987,37,(272)954-9956,3,118,75,98,156,20,100.0,105
William,Anderson,09/26/1999,25,(318)223-4241,8,100,79,98,80,20,99.2,107
Cara,Gomez,10/05/1953,71,(502)975-7827,1,108,67,95,76,15,98.7,113
Johnnie,Robinson,12/31/1949,74,(534)559-3078,0,114,69,100,78,17,99.7,107
Andre,Valencia,10/30/1980,44,(235)552-4137,6,113,73,98,135,12,99.1,105
Jason,Chen,10/23/1991,33,(327)198-0040,5,103,78,100,137,16,99.3,113
Stacey,Gomez,06/21/1964,60,(973)106-2620,8,104,73,95,117,17,99.8,112
Hershel,Jackson,12/07/1986,38,(540)086-9965,1,107,74,96,101,15,99.9,110
Bella,Martinez,05/31/1959,65,(843)396-4058,0,100,69,95,122,18,99.3,114
Vivian,Anderson,05/21/1978,46,(907)890-9314,5,115,69,95,113,19,99.5,106
William,Davis,09/03/1990,34,(447)388-2737,2,103,68,99,149,16,99.0,113
Kevin,Anderson,05/19/1980,44,(781)951-3808,3,116,78,98,102,16,100.4,101
Liam,Gomez,08/08/1988,36,(445)931-5740,5,107,71,96,144,15,99.6,112
Stacey,Cohen,08/07/2004,20,(708)804-9126,7,107,69,98,138,16,99.5,114
Felton,Love,02/17/1988,36,(659)541-1581,7,107,68,100,147,13,99.6,108
Velma,Taylor,12/24/1954,69,(831)157-6832,3,116,71,98,114,14,98.9,108
Harold,Lee,08/03/1995,29,(708)026-5684,4,100,73,96,99,16,100.0,109
Raymond,Keith,01/07/2005,19,(319)208-5684,7,118,67,98,160,20,99.9,102
Cara,Cohen,04/25/1952,72,(539)902-6705,8,119,75,95,106,16,99.1,114
Kevin,Beard,04/20/1962,62,(334)470-5564,2,111,67,98,114,16,99.1,108
Harri,Hickman,03/11/1953,71,(314)451-2474,7,120,68,95,86,15,99.8,115
Athena,Gaines,04/22/1966,58,(620)088-4161,8,106,67,98,114,16,99.2,106
Josh,Cohen,09/11/1957,67,(940)198-6247,9,100,78,100,121,15,99.7,108
Andre,White,07/30/1985,39,(802)769-3055,2,113,75,98,111,14,99.0,110
Velma,Mullins,01/18/1964,60,(434)007-8883,6,116,68,100,97,13,99.3,114
Sally,Wilson,11/17/1977,47,(281)572-0098,5,107,79,100,105,15,99.5,113
William,Allen,03/02/1982,42,(817)905-0048,6,105,75,98,94,16,99.7,101
Samuel,Thomas,05/29/1981,43,(732)786-7307,7,104,74,96,121,13,98.7,111
Velma,Cohen,07/31/1995,29,(730)008-2993,9,112,70,97,126,17,98.9,114
Jason,Miller,09/02/1978,46,(276)220-3864,6,104,72,95,129,19,100.4,102
Cathy,Garcia,10/05/1997,27,(919)610-5629,1,101,68,100,76,15,98.9,113
Wes,Lee,11/06/1968,56,(303)982-5502,7,111,69,99,87,15,100.0,104
John,Adkins,10/28/1976,48,(520)389-9915,6,102,68,100,108,15,99.7,106
