First_name,Last_name,Date_of_birth,Age,Phone_number,SSN,Systolic(BP),Diastolic(BP),Oxygen_saturation,Heart_rate,Respiratory_rate,Temperature,Glucose_levels
Elijah,Taylor,11/01/2003,21,(573)179-6096,1,102,68,95,88,12,98.8,113
Johnnie,Smith,11/21/1959,65,(531)780-0684,5,106,71,99,116,17,99.3,112
Isabelle,Navarro,05/19/1993,31,(316)068-8515,0,101,73,96,109,19,99.8,105
Kevin,Martinez,09/11/1985,39,(227)648-0586,1,103,79,99,148,19,99.0,108
Isabelle,Moore,11/27/1980,44,(518)220-9455,7,103,73,96,136,13,99.8,104
Dorothy,Davis,04/12/1952,72,(412)743-4982,7,102,67,96,90,17,98.9,109
Waldo,Gomez,06/19/1961,63,(779)254-3286,1,110,69,98,90,15,98.8,107
Dorothy,Potter,11/25/1994,30,(862)369-0283,1,106,71,98,96,19,100.3,103
Hamza,Navarro,07/14/1989,35,(730)239-8418,4,108,79,100,118,19,100.1,110
Tonia,Leblanc,02/17/1967,57,(423)765-1594,6,110,67,95,94,13,98.7,104
Liam,White,08/25/2002,22,(726)258-9960,5,112,69,99,98,18,100.0,105
Jennifer,Huynh,10/11/1983,41,(520)261-3278,2,113,74,99,124,15,100.3,105
Dorothy,Johnson,04/12/1951,73,(802)933-8002,5,110,67,100,82,18,99.2,114
Harold,Clark,02/11/1971,53,(743)935-1184,2,103,69,96,117,17,100.2,108
Velma,Davis,12/21/1978,45,(614)770-3488,8,103,77,96,113,14,100.3,111
Tonia,Walker,01/11/1956,68,(747)555-1001,0,108,75,96,128,15,98.7,104
Harold,White,12/31/1972,51,(917)585-2770,5,115,72,95,103,13,99.7,115
Oscar,Huynh,04/16/1983,41,(956)662-7644,3,103,73,100,98,15,98.9,114
Andre,Murray,09/30/1986,38,(763)348-1851,6,117,77,95,95,17,99.6,107
Carlos,Jackson,09/14/1995,29,(316)341-4544,3,107,71,99,122,18,99.2,105
Wes,Lyons,01/02/1984,40,(447)398-0770,3,114,79,99,148,14,99.4,112
Hershel,Valencia,11/11/1994,30,(513)768-0517,3,105,71,96,107,14,99.7,103
Sally,Thomas,05/11/1954,70,(959)802-4345,0,102,72,95,88,12,99.6,110
Ilene,Simpson,08/06/1975,49,(612)210-2013,3,102,74,95,108,15,100.2,112
