First_name,Last_name,Date_of_birth,Age,Phone_number,SSN,Systolic(BP),Diastolic(BP),Oxygen_saturation,Heart_rate,Respiratory_rate,Temperature,Glucose_levels
Barbara,Lee,05/09/1961,63,(835)423-8513,0,106,76,97,122,20,100.0,101
Ernest,Huynh,10/07/2004,20,(605)975-4932,1,119,78,95,121,15,99.8,113
Sally,Lopez,12/14/1986,37,(413)367-2824,0,102,76,98,119,14,99.9,115
Tommy,Martinez,04/27/1961,63,(657)050-4760,1,114,74,98,94,19,98.8,108
Raymond,Thomas,04/17/1972,52,(585)494-6564,3,116,67,95,145,12,100.4,110
Megan,Jackson,12/18/1966,57,(567)803-2983,1,116,72,96,137,13,100.3,113
Katherine,Martinez,12/20/1987,36,(983)423-3701,0,110,77,100,106,16,98.8,114
Megan,Simpson,06/14/1950,74,(629)187-3831,3,117,73,96,102,17,99.4,106
Hamza,Chen,11/11/2000,24,(641)083-9594,4,115,79,95,104,13,100.0,113
Tonia,Martinez,07/03/1992,32,(804)414-2967,1,106,77,96,103,13,99.4,107
Megan,Holt,01/15/1990,34,(330)881-1990,0,111,74,96,109,17,98.9,109
Mustafa,Clark,10/09/1978,46,(656)187-3097,8,116,73,96,144,20,100.3,114
Carrol,Keith,08/19/1974,50,(623)499-5952,8,104,79,96,115,14,98.9,107
Harold,Young,07/11/1961,63,(943)791-9172,9,111,67,99,85,16,98.8,101
Judson,Gonzales,10/27/1970,54,(835)602-7730,7,110,68,95,115,20,98.7,103
Barbara,Lyons,04/28/1978,46,(567)589-3687,4,105,73,98,91,19,99.5,107
Athena,Mullins,06/09/1979,45,(863)848-2911,5,112,76,95,141,16,99.1,110
Josh,Lyons,07/28/1987,37,(769)985-1789,6,103,73,95,114,12,99.4,111
Hamza,Young,03/02/1965,59,(234)693-9391,0,108,69,96,113,20,99.0,102
Waldo,Simpson,05/27/1974,50,(859)819-9332,8,115,71,100,131,19,100.2,108
Felton,Davis,04/15/1958,66,(970)419-1918,0,112,68,98,104,14,99.7,108
Harold,Love,09/22/2005,19,(602)002-4475,2,106,70,98,137,16,98.7,114
Duncan,Navarro,01/03/1982,42,(814)543-8443,3,114,72,100,150,20,99.7,108
Jennifer,Zhang,01/05/1997,27,(713)746-2072,0,116,74,96,91,19,100.4,110
Johnnie,Garcia,11/30/1987,37,(915)946-2205,5,113,75,100,152,20,98.6,109
Barbara,Brown,10/12/1956,68,(669)043-0035,3,100,69,96,99,15,99.4,112
Josh,Mullins,10/14/1955,69,(609)829-0867,7,109,75,95,126,18,99.8,104
Samuel,Brown,03/17/1979,45,(986)166-6000,6,109,75,98,116,20,99.4,113
Ada,Navarro,01/12/1996,28,(564)371-8870,7,118,77,100,85,20,99.4,110
Duncan,Huynh,12/16/1964,59,(308)005-3983,4,110,70,98,119,13,100.3,106
Felton,Wilson,07/13/1982,42,(847)050-6438,4,118,77,97,120,14,98.9,111
Vivian,Mullins,03/13/1970,54,(928)592-9557,4,113,78,95,137,15,99.7,103
Bella,Clark,10/08/1982,42,(810)434-0371,7,119,70,98,98,18,99.4,111
Connor,Walker,08/19/1950,74,(484)095-7134,8,120,74,98,109,15,98.6,114
Duncan,Adkins,07/19/2001,23,(915)123-3293,2,111,72,99,87,18,100.0,112
Carlos,Smith,01/05/1992,32,(765)140-1821,2,109,74,95,146,20,99.6,108
Ada,Thomas,06/26/1954,70,(206)708-5184,5,118,68,95,98,16,99.5,115
Dexter,Anderson,12/31/2002,21,(912)091-7712,6,105,68,96,122,13,99.8,110
Kevin,Davis,03/18/1964,60,(657)359-9915,5,120,71,100,126,16,98.6,103
Johnnie,Thomas,01/24/1993,31,(986)820-8254,0,102,79,100,151,13,99.9,103
Jordan,Allen,04/12/2000,24,(828)456-7715,9,100,74,96,121,19,100.0,102
Sally,Lopez,10/21/1995,29,(615)409-1154,8,109,73,99,114,17,99.5,113
Tonia,Zhang,08/23/1995,29,(509)099-5793,3,108,78,97,95,14,98.9,105
Judson,Martinez,02/08/1991,33,(475)020-4231,0,119,78,98,118,18,99.8,109
Samuel,Allen,02/18/1953,71,(646)855-3580,1,113,78,97,102,17,98.9,108
Jessica,Brown,10/11/1965,59,(626)880-8098,0,104,74,100,110,16,99.8,113
John,Davis,06/27/2005,19,(326)366-1076,6,100,73,97,143,12,99.8,111
Stacey,Gaines,09/09/1997,27,(659)521-6511,0,105,67,99,77,15,99.9,108
Isabelle,Jackson,03/16/1987,37,(769)651-7983,4,110,76,100,107,13,98.7,113
Bella,Young,11/22/1949,75,(303)930-8576,6,118,78,95,120,20,98.7,114
Jenny,Thompson,09/01/1995,29,(940)089-0132,2,104,79,95,97,13,99.4,111
Carlos,Walker,07/23/1975,49,(630)735-1712,8,100,73,97,96,17,100.2,111
Thea,Thomas,02/20/1969,55,(650)432-4889,9,113,68,98,118,15,99.0,107
Felton,Martin,08/05/1957,67,(504)920-6010,4,113,77,98,80,14,98.8,110
Barbara,Robinson,06/16/1986,38,(839)624-8081,1,109,79,96,157,13,100.2,103
Andre,Murray,08/06/1998,26,(713)766-7834,7,105,78,97,116,16,99.2,115
Duncan,Jones,10/13/1954,70,(734)320-4097,8,112,77,98,113,16,99.7,108
Logan,Lyons,05/04/1954,70,(956)962-3192,1,103,78,98,118,18,99.0,114
Felton,Anderson,11/23/1962,62,(631)926-2917,7,113,73,100,96,19,99.4,112
Simon,Holt,07/06/1979,45,(681)462-2753,0,114,77,96,136,17,99.6,112
Jordan,Walker,09/20/1998,26,(915)228-9763,8,120,69,100,91,13,100.2,111
Andre,Gomez,11/30/2001,23,(847)962-4446,1,114,79,95,77,15,99.1,106
Velma,Gomez,02/21/1975,49,(817)834-6908,6,115,70,98,125,14,99.4,113
Katherine,Martin,04/26/1971,53,(223)790-6351,8,110,77,95,136,20,100.1,108
James,Murray,10/21/1989,35,(680)367-2633,9,106,75,96,147,19,99.9,108
Ada,Martinez,05/12/1957,67,(502)092-3678,7,105,79,96,113,16,98.9,104
Athena,Wilson,03/27/1980,44,(386)514-4641,8,118,76,100,153,15,100.0,109
Tommy,Gaines,08/04/1954,70,(980)549-6726,4,107,79,95,120,15,99.4,102
Harold,Miller,08/04/1960,64,(531)977-2056,3,107,72,96,85,20,98.7,103
Jason,Johnson,08/26/1974,50,(570)081-1474,5,119,68,98,118,14,98.6,104
Kevin,Mays,10/02/2000,24,(541)236-9249,0,103,72,100,117,14,100.3,114
Cathy,Wilson,09/01/1990,34,(415)508-6202,2,120,71,97,143,16,99.7,101
Andre,Wilson,10/12/1950,74,(983)265-2510,0,113,78,95,90,19,100.3,105
Jordan,Clark,12/22/1992,31,(208)975-1602,3,117,68,96,160,17,99.0,109
Noah,Leblanc,12/22/1955,68,(209)508-3095,3,111,68,99,105,20,99.8,101
Lucas,Martin,01/31/1958,66,(312)757-6571,2,108,79,100,117,19,99.0,114
Josh,Love,03/10/1951,73,(339)903-4427,4,112,74,97,91,19,99.0,102
Josh,Love,05/26/1995,29,(810)731-8430,0,115,67,100,78,20,99.2,113
Raymond,Adkins,03/12/1999,25,(740)815-8415,9,108,71,96,79,19,99.7,110
Dorothy,Zhang,04/09/1969,55,(385)973-8693,4,103,75,96,84,14,99.4,103
John,Brown,05/18/1974,50,(412)620-9141,0,114,78,100,130,19,100.1,113
Liam,Adkins,11/26/1970,54,(442)564-2699,4,117,76,100,109,20,99.2,114
Vivian,Lee,02/23/1987,37,(406)638-9263,6,112,68,100,117,14,99.8,111
Jordan,Holt,12/10/1975,49,(582)135-2715,0,108,73,95,102,19,99.1,108
Mustafa,Jackson,04/27/1968,56,(504)259-9167,9,112,74,98,124,13,99.1,104
Bella,Davis,01/18/1960,64,(448)005-0419,1,118,78,98,134,20,100.2,101
Duncan,Simpson,10/15/1994,30,(838)888-4911,8,112,71,96,101,18,99.2,102
Jordan,Simpson,01/02/1968,56,(947)712-1061,0,114,74,99,138,12,99.1,104
Samuel,Cohen,03/05/1990,34,(660)389-0480,6,119,74,97,119,19,99.3,102
Carlos,Wilson,12/16/1994,29,(313)375-5804,8,114,68,95,80,12,99.3,101
Ilene,Adkins,11/19/1975,49,(728)455-1959,6,114,75,99,117,15,98.8,102
Carrol,Hickman,06/07/2003,21,(872)940-4516,5,109,77,95,86,18,99.6,103
Kevin,Gomez,05/02/1985,39,(331)103-9475,6,105,69,98,106,16,99.7,114
Jerald,Jackson,10/26/1955,69,(534)853-3914,2,112,72,100,96,18,99.8,103
Samuel,Taylor,04/11/1991,33,(820)110-8340,6,106,75,96,98,14,98.9,104
Josh,Martin,05/04/1980,44,(727)582-2103,2,114,75,99,138,17,100.2,108
Elijah,White,02/19/1965,59,(929)417-5935,9,109,74,100,136,19,98.9,103
Johnnie,Valencia,08/05/1972,52,(240)373-8471,4,101,67,100,129,12,100.1,114
Megan,Taylor,01/07/1981,43,(330)977-8504,1,109,74,95,101,16,100.2,101
